Loan_duration,Credit_history,Purpose,Credit_amount,Savings_status,Employment_length,Installment_commitment,Personal_status,Residence_since,Property_magnitude,Age,Other_payment_plans,House_ownership,Existing_credits,Job,Num_dependents,Class
6.0,critical/other existing credit,radio/tv,1169.0,0.0,7.0,4.0,male single,4.0,real estate,67.0,none,own,2.0,skilled,1.0,1
48.0,existing paid,radio/tv,5951.0,50.0,2.5,2.0,female div/dep/mar,2.0,real estate,22.0,none,own,1.0,skilled,1.0,0
12.0,critical/other existing credit,education,2096.0,50.0,5.5,2.0,male single,3.0,real estate,49.0,none,own,1.0,unskilled resident,2.0,1
42.0,existing paid,furniture/equipment,7882.0,50.0,5.5,2.0,male single,4.0,life insurance,45.0,none,for free,1.0,skilled,2.0,1
24.0,delayed previously,new car,4870.0,50.0,2.5,3.0,male single,4.0,no known property,53.0,none,for free,2.0,skilled,2.0,0
36.0,existing paid,education,9055.0,0.0,2.5,2.0,male single,4.0,no known property,35.0,none,for free,1.0,unskilled resident,2.0,1
24.0,existing paid,furniture/equipment,2835.0,750.0,7.0,3.0,male single,4.0,life insurance,53.0,none,own,1.0,skilled,1.0,1
36.0,existing paid,used car,6948.0,50.0,2.5,2.0,male single,2.0,car,35.0,none,rent,1.0,high qualif/self emp/mgmt,1.0,1
12.0,existing paid,radio/tv,3059.0,1000.0,5.5,2.0,male div/sep,4.0,real estate,61.0,none,own,1.0,unskilled resident,1.0,1
30.0,critical/other existing credit,new car,5234.0,50.0,0.0,4.0,male mar/wid,2.0,car,28.0,none,own,2.0,high qualif/self emp/mgmt,1.0,0
12.0,existing paid,new car,1295.0,50.0,0.5,3.0,female div/dep/mar,1.0,car,25.0,none,rent,1.0,skilled,1.0,0
48.0,existing paid,business,4308.0,50.0,0.5,3.0,female div/dep/mar,4.0,life insurance,24.0,none,rent,1.0,skilled,1.0,0
12.0,existing paid,radio/tv,1567.0,50.0,2.5,1.0,female div/dep/mar,1.0,car,22.0,none,own,1.0,skilled,1.0,1
24.0,critical/other existing credit,new car,1199.0,50.0,7.0,4.0,male single,4.0,car,60.0,none,own,2.0,unskilled resident,1.0,0
15.0,existing paid,new car,1403.0,50.0,2.5,2.0,female div/dep/mar,4.0,car,28.0,none,rent,1.0,skilled,1.0,1
24.0,existing paid,radio/tv,1282.0,300.0,2.5,4.0,female div/dep/mar,2.0,car,32.0,none,own,1.0,unskilled resident,1.0,0
24.0,critical/other existing credit,radio/tv,2424.0,0.0,7.0,4.0,male single,4.0,life insurance,53.0,none,own,2.0,skilled,1.0,1
30.0,no credits/all paid,business,8072.0,0.0,0.5,2.0,male single,3.0,car,25.0,bank,own,3.0,skilled,1.0,1
24.0,existing paid,used car,12579.0,50.0,7.0,4.0,female div/dep/mar,2.0,no known property,44.0,none,for free,1.0,high qualif/self emp/mgmt,1.0,0
24.0,existing paid,radio/tv,3430.0,750.0,7.0,3.0,male single,2.0,car,31.0,none,own,1.0,skilled,2.0,1
9.0,critical/other existing credit,new car,2134.0,50.0,2.5,4.0,male single,4.0,car,48.0,none,own,3.0,skilled,1.0,1
6.0,existing paid,radio/tv,2647.0,750.0,2.5,2.0,male single,3.0,real estate,44.0,none,rent,1.0,skilled,2.0,1
